start_time_ticks,duration_ticks,midi_number,velocity,note_name,frequency_hz,original_mz,original_intensity,retention_time,start_time_seconds,duration_seconds
25440,960,92,23,G#,1661.2187903197803,145.0,29509525.0,0.26479694021786754,31.8,1.2
25440,960,90,25,F#,1479.9776908465376,218.0,42384802.0,0.2654370632567984,31.8,1.2
25440,720,74,20,D,587.3295358348151,641.0,47442.0,0.26553130663371205,31.8,0.9
25560,960,86,28,D,1174.65907166963,315.0,66414369.0,0.26607563633053055,31.95,1.2
25560,960,88,21,E,1318.5102276514797,255.00000000000003,8847292.0,0.26661411710219524,31.95,1.2
25800,960,90,72,F#,1479.9776908465376,217.00000000000003,419460366.0,0.26821146437996346,32.25,1.2
25800,960,72,22,C,523.2511306011972,703.0,19492501.0,0.2688079723180803,32.25,1.2
26040,960,74,20,D,587.3295358348151,611.0,770409.0,0.2715843100476745,32.55,1.2
26040,720,76,20,E,659.2551138257398,553.0,400546.0,0.2712995230619008,32.55,0.9
26040,960,86,21,D,1174.65907166963,315.99999999999994,8099464.0,0.2713993220809459,32.55,1.2
26400,960,84,21,C,1046.5022612023945,363.0,12564866.0,0.2751177646391836,33.0,1.2
26520,960,90,20,F#,1479.9776908465376,205.0,2650905.0,0.27639495767937444,33.15,1.2
26640,960,88,22,E,1318.5102276514797,281.0,17230259.0,0.27739406620617346,33.3,1.2
26760,960,84,25,C,1046.5022612023945,351.0,40705130.0,0.27824970925661874,33.45,1.2
26760,960,90,24,F#,1479.9776908465376,227.0,35956349.0,0.27842316530432126,33.45,1.2
26760,960,84,20,C,1046.5022612023945,382.0,396632.0,0.27883705072268916,33.45,1.2
26760,720,82,20,A#,932.3275230361797,438.99999999999994,501086.0,0.2786231727323573,33.45,0.9
27000,480,94,20,A#,1864.6550460723597,90.99999999999999,123092.0,0.2815980080029043,33.75,0.6
27120,960,88,20,E,1318.5102276514797,269.99999999999994,2040566.0,0.2825588806405881,33.9,1.2
27120,960,84,20,C,1046.5022612023945,351.99999999999994,410645.0,0.28228881765374886,33.9,1.2
27600,960,86,25,D,1174.65907166963,301.0,41881076.0,0.2871297814819598,34.5,1.2
27600,960,90,20,F#,1479.9776908465376,183.0,156553.0,0.28804037622489603,34.5,1.2
27720,960,84,25,C,1046.5022612023945,349.0,41696784.0,0.2885376807588982,34.65,1.2
27720,720,74,20,D,587.3295358348151,606.0,265238.0,0.28850024709953287,34.65,0.9
27960,960,88,23,E,1318.5102276514797,243.0,26845006.0,0.2916904922155231,34.95,1.2
28080,960,88,23,E,1318.5102276514797,245.0,30328455.0,0.29252995575391344,35.1,1.2
28560,960,88,20,E,1318.5102276514797,262.0,7793250.0,0.29804619911838937,35.7,1.2
28920,720,72,20,C,523.2511306011972,684.0,196467.0,0.30127737928450304,36.15,0.9
29040,960,66,21,F#,369.9944227116344,839.0,14735610.0,0.3019726185452458,36.3,1.2
29040,960,90,22,F#,1479.9776908465376,201.00000000000003,17233187.0,0.30278457665319986,36.3,1.2
29040,720,74,20,D,587.3295358348151,626.0,42399.0,0.3026420965729627,36.3,0.9
29160,960,84,25,C,1046.5022612023945,393.0,40086827.0,0.30375846657825845,36.45,1.2
29280,960,88,22,E,1318.5102276514797,283.0,19014902.0,0.30438754130344503,36.6,1.2
29400,960,86,21,D,1174.65907166963,311.00000000000006,13706997.0,0.30686917942822917,36.75,1.2
29520,960,88,22,E,1318.5102276514797,251.0,23327478.0,0.30770610515969443,36.9,1.2
29520,960,88,22,E,1318.5102276514797,269.0,18587966.0,0.30783299474627135,36.9,1.2
29640,960,84,20,C,1046.5022612023945,388.0,1725872.0,0.30873459319724084,37.05,1.2
30000,960,82,20,A#,932.3275230361797,423.0,5611531.0,0.312774027719418,37.5,1.2
30120,960,88,26,E,1318.5102276514797,257.0,51347063.0,0.31340017292093353,37.65,1.2
30120,960,90,20,F#,1479.9776908465376,228.0,1796433.0,0.31344284234904546,37.65,1.2
30240,960,88,20,E,1318.5102276514797,252.99999999999997,4269659.0,0.31556735446069073,37.8,1.2
30480,960,62,20,D,293.6647679174076,945.0000000000002,128000.0,0.31758616815883,38.1,1.2
30480,960,90,21,F#,1479.9776908465376,229.0,13818722.0,0.31785974238289644,38.1,1.2
30480,960,90,20,F#,1479.9776908465376,199.99999999999997,726267.0,0.31715799034797465,38.1,1.2
30720,960,86,24,D,1174.65907166963,289.0,35701473.0,0.31980795775414583,38.4,1.2
30840,960,92,20,G#,1661.2187903197803,171.0,1778044.0,0.32117864010334646,38.55,1.2
30960,960,78,20,F#,739.9888454232688,532.0,1792701.0,0.32238689736099246,38.7,1.2
31080,960,72,20,C,523.2511306011972,663.0,2168429.0,0.3240855717269621,38.85,1.2
31440,960,88,26,E,1318.5102276514797,261.0,51536404.0,0.3275074020941677,39.3,1.2
31440,960,86,20,D,1174.65907166963,303.00000000000006,3416271.0,0.3278969820581515,39.3,1.2
31560,960,90,31,F#,1479.9776908465376,215.0,89525694.0,0.3283225641779149,39.45,1.2
31680,960,90,24,F#,1479.9776908465376,213.00000000000003,37832659.0,0.32973004116374816,39.6,1.2
31680,960,72,20,C,523.2511306011972,680.0,2000373.0,0.32986931972178984,39.6,1.2
31680,360,92,20,G#,1661.2187903197803,169.0,44568.0,0.33009992336122423,39.6,0.45
32040,960,84,21,C,1046.5022612023945,369.00000000000006,12313780.0,0.3336680457741876,40.05,1.2
32160,960,86,21,D,1174.65907166963,317.0,12243506.0,0.33443303252760426,40.2,1.2
32760,960,92,20,G#,1661.2187903197803,177.0,244921.0,0.34098189892002284,40.95,1.2
33120,960,88,21,E,1318.5102276514797,279.0,13552618.0,0.3447882256532723,41.4,1.2
33120,960,88,20,E,1318.5102276514797,275.0,5319886.0,0.34552183373710366,41.4,1.2
33120,960,88,20,E,1318.5102276514797,247.0,1460649.0,0.3449045754570342,41.4,1.2
33360,960,86,28,D,1174.65907166963,331.0,64415238.0,0.3470357782657506,41.7,1.2
33480,960,82,20,A#,932.3275230361797,394.0000000000001,1648108.0,0.3497350693427237,41.85,1.2
33840,960,70,22,A#,466.16376151808987,746.0,19303883.0,0.3528895959914402,42.3,1.2
33840,720,72,20,C,523.2511306011972,681.0,538193.0,0.35289410736846183,42.3,0.9
34200,960,86,20,D,1174.65907166963,335.00000000000006,1268270.0,0.3563033934935361,42.75,1.2
34200,960,80,20,G#,830.6093951598903,447.0,2275673.0,0.35680350723022625,42.75,1.2
34320,960,88,24,E,1318.5102276514797,271.00000000000006,36859624.0,0.35790371720843367,42.9,1.2
34320,960,82,20,A#,932.3275230361797,406.0,3462385.0,0.3569253704196587,42.9,1.2
34320,960,88,22,E,1318.5102276514797,239.00000000000003,16776966.0,0.35702528934695,42.9,1.2
34560,960,90,20,F#,1479.9776908465376,204.0,1005338.0,0.3597567491455596,43.2,1.2
34680,960,86,20,D,1174.65907166963,321.0,1682316.0,0.361645109978571,43.35,1.2
34680,960,76,20,E,659.2551138257398,586.0,404963.0,0.3608511415929976,43.35,1.2
34680,960,90,20,F#,1479.9776908465376,206.99999999999997,840326.0,0.3613368328178845,43.35,1.2
34800,960,90,22,F#,1479.9776908465376,185.0,22693825.0,0.3625930107123235,43.5,1.2
34920,960,90,20,F#,1479.9776908465376,225.0,1776703.0,0.3632627240282498,43.65,1.2
35040,960,94,20,A#,1864.6550460723597,89.0,70661.0,0.36522652080271545,43.8,1.2
35280,960,84,23,C,1046.5022612023945,357.00000000000006,28425678.0,0.36737845015191767,44.1,1.2
35280,960,88,20,E,1318.5102276514797,275.99999999999994,1664801.0,0.367880315558752,44.1,1.2
35520,720,86,20,D,1174.65907166963,312.0,1013107.0,0.36945502429238963,44.4,0.9
35520,720,72,20,C,523.2511306011972,685.0,418055.0,0.3694105076766663,44.4,0.9
